"id","collection","token_count","lang"
"75-10050","C1","47","it"
"75-00451","C1","49","en"
"75-02281","C1","72","de"
"75-02534","C1","71","es"
"75-06072","C1","44","it"
"75-13814","C1","63","en"
"75-00452","C1","43","fr"
"75-06697","C1","124","en"
"75-06375","C1","31","it"
"75-06264","C1","107","en"
"75-04752","C1","38","it"
"75-00411","C1","63","fr"
"75-00425","C1","120","en"
"75-03455","C1","35","it"
"75-00392","C1","79","en"
"75-00113","C1","86","en"
"75-01170","C1","93","fr"
"75-02406","C1","119","en"
"75-06216","C1","108","en"
"75-00458","C1","91","en"
"75-06188","C1","42","it"
"75-06073","C1","42","it"
"75-07578","C1","62","fr"
"75-04520","C1","22","it"
"75-00440","C1","100","en"
"75-00104","C1","22","it"
"75-06584","C1","116","en"
"75-04978","C1","38","en"
"75-06052","C1","72","de"
"75-01917","C1","82","en"
"75-05988","C1","67","fr"
"75-01494","C1","22","it"
"75-06374","C1","178","en"
"75-06198","C1","104","en"
"75-01242","C1","53","es"
"75-06263","C1","107","en"
"75-06684","C1","122","en"
"75-00420","C1","47","fr"
"75-11966","C1","117","es"
"75-02563","C1","90","en"
"75-06079","C1","22","fr"
"75-02291","C1","90","en"
"75-06176","C1","65","en"
"75-06223","C1","54","fr"
"75-06200","C1","78","en"
"75-06895","C1","40","fr"
"75-04947","C1","145","en"
"75-03375","C1","127","en"
"75-06503","C1","70","es"
"75-03051","C1","60","de"
"75-02290","C1","97","en"
"75-04527","C1","53","fr"
"75-00110","C1","46","fr"
"75-02637","C1","96","en"
"75-06556","C1","43","fr"
"75-03031","C1","87","en"
"75-10228","C1","72","de"
"75-02669","C2","31","it"
"75-11644","C2","55","de"
"75-08076","C2","103","fr"
"75-09973","C2","25","it"
"75-06595","C2","25","fr"
"75-08477","C2","65","it"
"75-11346","C2","47","fr"
"75-12266","C2","83","fr"
"75-11757","C2","36","de"
"75-01900","C2","25","it"
"75-07110","C2","16","fr"
"75-11938","C2","8","es"
"75-13528","C2","23","de"
"75-07541","C2","11","it"
"75-03329","C2","18","it"
"75-03880","C2","42","fr"
"75-13135","C2","48","fr"
"75-09163","C2","18","fr"
"75-13204","C2","56","fr"
"75-08126","C2","57","fr"
"75-06901","C2","4","fr"
"75-11332","C2","125","en"
"75-15421","C2","4","it"
"75-05085","C2","72","es"
"75-02280","C2","97","en"
"75-09432","C2","51","fr"
"75-05815","C2","43","it"
"75-13263","C2","55","it"
"75-13477","C2","42","en"
"75-08563","C2","21","fr"
"75-08075","C2","27","fr"
"75-13265","C2","25","it"
"75-13762","C2","103","en"
"75-02917","C2","63","fr"
"75-06717","C2","104","en"
"75-04378","C2","35","it"
"75-06850","C2","151","es"
"75-11214","C2","72","fr"
"75-10295","C2","43","it"
"75-06643","C2","34","fr"
"75-09877","C2","18","it"
"75-07089","C2","12","es"
"75-12939","C2","14","fr"
"75-03279","C2","22","it"
"75-01922","C2","8","fr"
"75-11777","C2","37","fr"
"75-10577a","C2","29","it"
"75-06874","C2","11","fr"
"75-03721","C2","33","fr"
"75-13043","C2","31","fr"
"75-01044","eff_cand_8","85","fr"
"75-01350","eff_cand_8","22","it"
"75-05498","eff_cand_8","17","it"
"75-04686","eff_cand_8","34","de"
"75-09071","eff_cand_8","120","en"
"75-05031","eff_cand_8","26","fr"
"75-11046","eff_cand_8","12","fr"
"75-00185","eff_cand_8","83","fr"
"75-10141","eff_cand_8","107","en"
"75-01048","eff_cand_8","90","es"
"75-06241","eff_cand_8","79","en"
"75-00552","eff_cand_8","18","de"
"75-07522","eff_cand_8","47","it"
"75-10310a","eff_cand_8","90","en"
"75-00197","eff_cand_8","28","de"
"75-00894","eff_cand_8","31","it"
"75-02585","eff_cand_8","13","fr"
"75-08052","eff_cand_8","39","fr"
"75-09364","eff_cand_8","36","it"
"75-01984","eff_cand_8","77","fr"
"75-12962","eff_cand_8","115","fr"
"75-09206","eff_cand_8","118","de"
"75-00651","eff_cand_8","123","fr"
"75-10333","eff_cand_8","38","it"
"75-04811","eff_cand_8","55","de"
"75-01154","eff_cand_8","109","de"
"75-06665","eff_cand_8","20","it"
"75-11727","eff_cand_8","108","es"
"75-12529","eff_cand_8","63","fr"
"75-03229","eff_cand_8","10","fr"
"75-02338","eff_cand_7","63","it"
"75-13563","eff_cand_7","101","de"
"75-00952","eff_cand_7","21","de"
"75-03188","eff_cand_7","23","it"
"75-04296","eff_cand_7","65","it"
"75-11396","eff_cand_7","129","es"
"75-10688","eff_cand_7","11","fr"
"75-04431","eff_cand_7","94","fr"
"75-03368","eff_cand_7","57","es"
"75-13350","eff_cand_7","108","fr"
"75-09213","eff_cand_7","57","fr"
"75-05778","eff_cand_7","110","fr"
"75-07569","eff_cand_7","33","fr"
"75-04944","eff_cand_7","65","it"
"75-14084","eff_cand_7","25","it"
"75-10516","eff_cand_7","35","fr"
"75-03134","eff_cand_7","61","fr"
"75-09558","eff_cand_7","45","it"
"75-05190","eff_cand_7","30","fr"
"75-05974","eff_cand_7","40","es"
"75-08369","eff_cand_7","52","it"
"75-00389","eff_cand_7","66","it"
"75-04097","eff_cand_7","73","de"
"75-03068","eff_cand_7","21","es"
"75-09022","eff_cand_7","144","fr"
"75-10116","eff_cand_7","123","es"
"75-03729","eff_cand_7","54","it"
"75-12336","eff_cand_7","58","it"
"75-05224","eff_cand_7","75","it"
"75-09589","eff_cand_7","52","fr"
"75-00013","eff_cand_5_a","78","it"
"75-10763","eff_cand_5_a","77","de"
"75-12777","eff_cand_5_a","51","fr"
"75-05291","eff_cand_5_a","105","en"
"75-01353","eff_cand_5_a","123","de"
"75-02932","eff_cand_5_a","96","de"
"75-01943","eff_cand_5_a","69","en"
"75-03124","eff_cand_5_a","56","fr"
